question_text,category,survey_organisation,country,fieldwork_date,agreement,neutral,disagreement,n_respondents,response_scale,notes,source_file,extraction_date,non_response,data_quality,quality_issues
"Before today, had you heard of the use of AI technologies for... Facial recognition for unlocking phones",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,93.0,2.0,6.0,4002.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Driverless cars",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,92.0,1.0,7.0,2021.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Robotic vacuum cleaners",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,89.0,2.0,9.0,2029.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Targeted consumer advertising",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,87.0,4.0,9.0,2002.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Smart speakers",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,82.0,4.0,14.0,2011.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Facial recognition for policing",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,80.0,4.0,16.0,1987.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Facial recognition for border control",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,71.0,3.0,26.0,2015.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Targeted political advertising",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,67.0,7.0,26.0,2000.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Virtual reality in education",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,59.0,7.0,34.0,1987.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Autonomous weapons",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,58.0,7.0,35.0,1981.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
